strategy,budget_level,customers_contacted,actual_incremental_visit_rate,estimated_total_incremental_visits
Two-Model,10%,1280,0.08584627086036418,109.88322670126615
Baseline (naive),10%,1280,0.08205869094716917,105.03512441237653
Class Transformation,10%,1280,0.07119086166576724,91.12430293218208
Causal Forest,10%,1280,0.04699804699804702,60.15750015750019
Random Selection,10%,1280,0.04026245575515447,51.53594336659772
Baseline (naive),20%,2560,0.08357341362857532,213.9479388891528
Two-Model,20%,2560,0.07561758208528974,193.58101013834172
Class Transformation,20%,2560,0.07507927087749044,192.20293344637554
Causal Forest,20%,2560,0.05318722025003858,136.15928384009877
Random Selection,20%,2560,0.04577325260289947,117.17952666342264
