row_index,actual_treatment,actual_visit,actual_conversion,uplift_two_model,uplift_class_transform,uplift_causal_forest,baseline_predicted_prob,uplift_class_transform_corrected
0,0,0,0,0.1994080725799212,-0.1998419755917332,0.0703761990204591,0.4138395972984793,-0.16723665632180063
1,1,0,0,0.0859876764147593,-0.1231238422610093,0.0621380384950038,0.5855783402708102,-0.11929590343424279
2,0,1,1,-0.1411568923349374,-0.2188919868483211,0.0421469544598615,0.5070567015825244,-0.26934262328031766
3,1,0,0,0.2130112372985882,-0.2765582321207374,0.0686477988766287,0.2088464151160079,-0.2675808908724252
4,0,0,0,0.412646483577183,-0.0707277153009894,0.1497689027467526,0.4976511506621822,-0.16403862076896436
5,1,0,0,0.16728318615927,-0.157305961545098,0.0848737934901928,0.4304638881833702,-0.12475874380783059
6,0,0,0,0.2142289525895513,-0.0699587969501286,0.0412197110903197,0.4114770534987803,0.05568931854542947
7,1,0,0,0.1088942129368794,-0.3171242384789967,0.0536902226445784,0.3439241034095281,-0.2915771262646212
8,0,0,0,-0.0005296218842149,-0.3324776015676267,0.0552130706603668,0.3341806396390026,-0.45144323862064384
9,1,0,0,0.0206405872802402,-0.1176264472084704,0.0960591933878968,0.5829984436333745,-0.11212799366448867
10,1,0,0,0.015915647567706,-0.2439354873186359,0.013160478496774,0.3257060115160034,-0.2035971534084311
11,1,0,0,-0.171927597188264,-0.4240551017241296,0.0623238915374372,0.6240674666216102,-0.30545923346234616
12,0,0,0,0.0356047664125782,-0.0293672101713953,0.0843335468309917,0.6898174747594658,0.0038076570791567566
13,1,0,0,0.3103002526679228,-0.0488015760624475,0.066400299140976,0.6146741487372669,-0.028854421171796818
14,1,0,0,0.0491173039259532,-0.1473850038892468,0.1256236275400676,0.4480295396589631,-0.19845691225055995
15,1,0,0,0.1791314246540568,-0.084599375706407,0.1101502850087754,0.3067053800873366,-0.0747777073305963
16,1,0,0,0.2779714695291804,-0.0414951586074168,0.1700862458934213,0.6326008347528523,-0.07953184844614092
17,0,0,0,0.1286089309087911,-0.2303657369167545,0.1019101922807143,0.1298546631805936,-0.14064981888042305
18,1,0,0,-0.0935516167876993,-0.2144446977147208,0.0681110977756162,0.3443701185296974,-0.18193260417767965
19,1,0,0,0.4234950750478055,-0.007988890562642,0.1117798932219317,0.6796026546263177,-0.006830206548950057
20,0,0,0,0.0454433612729809,-0.2244940009096598,-0.057360756277304,0.2116515198227326,-0.2882310141872748
21,0,0,0,-0.0631983069035446,-0.093425099714227,0.1043684780800211,0.6655463884088269,-0.07494996422857914
22,1,0,0,-0.0888424054454327,-0.3587889707246344,0.047366790390909,0.3674700852919051,-0.3477080704108759
23,1,0,0,-0.03501047890405,-0.2041066735756729,0.004009335101898,0.5620254529027366,-0.29170126585677836
24,1,0,0,0.0338144989730698,-0.279037093746737,0.0543502505990102,0.389456352680686,-0.2550069422878205
25,1,0,0,0.0941202465512314,-0.2226482649956855,0.0655392831583329,0.3601957282991784,-0.22642876901426745
26,0,0,0,-0.0636453327182213,-0.0269715189714282,0.1074561846945997,0.6812271509911931,-0.06621748452275988
27,0,0,0,-0.0652965517117676,-0.1382466079539288,0.0925682441654238,0.4673123138004925,-0.20518378832796025
28,1,0,0,0.1513527154584946,-0.1965994173072356,0.0834644374533004,0.1867723686728786,-0.17068665991096799
29,1,0,0,0.0971175975141466,-0.0569116517763642,0.0418534171614103,0.3936079111099481,-0.05800535036345211
30,1,0,0,-0.0795240516371489,-0.2403628861776199,0.0490282227497336,0.5205390179231494,-0.22205017938902671
31,1,0,0,0.0873931693571044,-0.1896210269104316,0.0513865475201,0.470505774217925,-0.04863101312597562
32,1,0,0,-0.002059735789768,-0.1569996418339919,0.1232567538983481,0.6702393908840585,-0.05514713644833591
33,0,1,0,0.0366853580610719,-0.324946156397597,0.01660279152131,0.3544755296372116,-0.3431143668988228
34,1,0,0,0.3488123468912737,-0.1191107475775803,0.1476813226281703,0.5821746688746966,-0.09921217919052594
35,1,0,0,0.2170228287917872,-0.2303045654583305,0.0925616159749117,0.2860605205177078,-0.22719020570309634
36,1,1,1,0.3745125732601954,-0.2414525206559911,0.0932579500932445,0.3265742395508121,-0.1851702565321045
37,1,1,0,0.2686424746893079,-0.0413964479048477,0.0878507182301551,0.5445242736874012,-0.05937196758627816
38,1,0,0,-0.015826217367942,-0.1605175401299462,0.0440319926501019,0.5430207166491718,-0.16046807352962167
39,1,0,0,0.3732573433777903,-0.1352636205624093,0.044439683756551,0.3239263133612426,-0.1005654530786424
40,1,1,0,0.0558623520715977,-0.2417359722759825,0.0507214839368249,0.5252169118224983,-0.2543534065450165
41,1,0,0,0.0331516862198739,-0.0871036711398629,0.111711755677745,0.6440214935149997,-0.02874578510289727
42,1,0,0,0.2261537157373481,-0.3260189582566331,0.0406293214602813,0.1773059216050376,-0.34891716122947614
43,0,0,0,-0.1627763760082278,-0.2086768489910485,0.0623390903345143,0.5055671536491343,-0.20816734715382013
44,0,1,0,0.077690530028363,0.1476685299436995,0.0977799072334539,0.7747890883928855,0.04719092321556695
45,1,0,0,-0.2746840784939791,-0.1984724764065438,-0.0170911665593308,0.4922700028211503,-0.21915297845630544
46,1,0,0,0.1615918782485507,-0.2007261786675681,0.1559545605872545,0.5731997761625567,-0.2182071257102145
47,0,0,0,-0.011958597987615,-0.2851323472832447,0.0636845450779311,0.3282728701349605,-0.2968764397322927
48,1,0,0,-0.3108859931847621,-0.3587128725650252,0.0686372354689587,0.4280166648984817,-0.3326386847268433
49,1,0,0,-0.1955341323097683,-0.3892926640899127,-0.0298321794398919,0.3514037735608314,-0.36902284790346973
50,1,1,0,0.0405945187281655,-0.0713209176432999,0.0717980353659993,0.5834111182455578,-0.14767256488257008
51,0,0,0,0.078553621054037,-0.178412249457727,0.0044851553090222,0.3603691533382899,-0.19204895614381767
52,1,0,0,-0.1236745514829533,-0.243910971126827,-0.0144819099690869,0.2443380357624361,-0.25677473243370585
53,0,0,0,-0.0909575324170997,-0.2434013135830924,0.0446648791008544,0.5040825408533165,-0.3067404525581684
54,1,1,0,0.2181831421958079,-0.145430215324931,0.062365879318412,0.4062558977968726,-0.1409159359985599
55,1,0,0,0.1860732359226622,-0.2366940378620105,0.0808344475889068,0.528364241062869,-0.26439323143231486
56,0,0,0,0.2512082571764656,-0.1143787163905744,0.1154305304067875,0.3657512800754921,-0.1139172516412944
57,0,0,0,0.2114717149107686,0.182355597111637,0.0857193621202134,0.6553106572903815,0.061330396901156714
58,0,0,0,0.2144274116762827,-0.1844395380035007,0.0182943694898707,0.2919123793571647,-0.25277021920709297
59,1,0,0,0.0480862225584052,-0.2821736585685065,0.0388975804769819,0.3881386038584645,-0.2840724144320712
60,1,0,0,0.2910469656518532,-0.0088454007225472,0.1407724574842153,0.5518595664297747,-0.012463838382649195
61,1,0,0,0.1766449301593651,0.0254255339498883,0.1019270897601009,0.5331633052226297,-0.060976555224140805
62,1,0,0,0.0401813865286272,-0.2741460657682386,0.0425532408147058,0.301871256038637,-0.2677077377429705
